date, pm25
2017/7/28, 76
2017/7/29, 84
2017/7/30, 39
2017/7/31, 58
2017/8/1, 58
2017/8/2, 80
2017/8/3, 78
2017/8/4, 108
2017/8/5, 134
2017/8/6, 149
2017/8/7, 135
2017/8/8, 108
2017/8/9, 121
2017/8/10, 119
2017/8/11, 72
2017/8/12, 54
2017/8/13, 65
2017/8/14, 75
2017/8/15, 86
2017/8/16, 91
2017/8/17, 100
2017/8/18, 108
2017/8/19, 96
2017/8/20, 73
2017/8/21, 76
2017/8/24, 141
2017/8/25, 146
2017/9/11, 128
2017/9/12, 111
2017/9/13, 136
2017/9/14, 152
2017/9/15, 128
2017/9/16, 134
2017/9/17, 116
2017/9/18, 120
2017/9/19, 136
2017/9/20, 147
2017/9/21, 115
2017/9/22, 43
2017/9/23, 38
2017/9/24, 89
2017/9/25, 127
2017/9/26, 144
2017/9/27, 157
2017/9/28, 154
2017/9/29, 163
2017/9/30, 151
2017/4/1, 157
2017/4/2, 145
2017/4/3, 118
2017/4/4, 108
2017/4/5, 83
2017/4/6, 114
2017/4/7, 216
2017/4/8, 176
2017/4/9, 83
2017/4/10, 107
2017/4/11, 137
2017/4/12, 149
2017/4/13, 167
2017/4/14, 187
2017/4/15, 174
2017/4/16, 211
2017/4/17, 178
2017/4/18, 189
2017/4/19, 150
2017/4/20, 155
2017/4/21, 174
2017/4/22, 174
2017/4/23, 162
2017/4/24, 162
2017/4/25, 147
2017/4/26, 96
2017/4/27, 131
2017/4/28, 137
2017/4/29, 99
2017/5/1, 96
2017/5/2, 161
2017/5/3, 179
2017/5/4, 145
2017/5/5, 219
2017/5/6, 206
2017/5/7, 195
2017/5/8, 186
2017/5/9, 153
2017/5/10, 138
2017/5/11, 132
2017/5/12, 219
2017/5/13, 170
2017/5/14, 162
2017/5/15, 136
2017/5/16, 171
2017/5/17, 135
2017/5/18, 157
2017/5/19, 126
2017/5/20, 138
2017/5/21, 182
2017/5/22, 158
2017/5/23, 154
2017/5/24, 157
2017/5/25, 138
2017/5/26, 153
2017/5/27, 129
2017/5/28, 88
2017/5/29, 106
2017/5/30, 131
2017/5/31, 112
2017/6/1, 155
2017/6/2, 168
2017/6/3, 149
2017/6/4, 156
2017/6/5, 113
2017/6/6, 122
2017/6/7, 81
2017/6/8, 102
2017/6/9, 143
2017/6/10, 142
2017/6/11, 97
2017/6/12, 117
2017/6/13, 107
2017/6/14, 120
2017/6/15, 138
2017/6/16, 110
2017/6/17, 99
2017/6/18, 125
2017/6/19, 119
2017/6/20, 81
2017/6/21, 132
2017/6/22, 126
2017/6/23, 117
2017/6/24, 131
2017/6/25, 148
2017/6/26, 125
2017/6/27, 99
2017/6/28, 75
2017/6/29, 64
2017/6/30, 64
2017/1/3, 241
2017/1/4, 263
2017/1/5, 231
2017/1/6, 217
2017/1/7, 213
2017/1/8, 192
2017/1/9, 188
2017/1/10, 203
2017/1/11, 167
2017/1/12, 200
2017/1/13, 279
2017/1/14, 294
2017/1/15, 327
2017/1/16, 232
2017/1/17, 214
2017/1/18, 200
2017/1/19, 220
2017/1/20, 210
2017/1/21, 170
2017/1/22, 292
2017/1/23, 300
2017/1/24, 231
2017/1/25, 252
2017/1/26, 260
2017/1/27, 183
2017/1/28, 128
2017/1/29, 185
2017/1/30, 197
2017/1/31, 207
2017/2/1, 207
2017/2/2, 185
2017/2/3, 235
2017/2/4, 254
2017/2/5, 201
2017/2/6, 194
2017/2/7, 221
2017/2/8, 157
2017/2/9, 188
2017/2/10, 183
2017/2/11, 168
2017/2/12, 174
2017/2/13, 191
2017/2/14, 179
2017/2/15, 190
2017/2/16, 191
2017/2/17, 180
2017/2/18, 169
2017/2/19, 163
2017/2/20, 167
2017/2/21, 164
2017/2/22, 162
2017/2/23, 145
2017/2/24, 138
2017/2/25, 121
2017/2/26, 131
2017/2/27, 159
2017/2/28, 153
2017/3/1, 145
2017/3/2, 162
2017/3/3, 169
2017/3/4, 115
2017/3/5, 135
2017/3/6, 133
2017/3/7, 148
2017/3/8, 158
2017/3/9, 113
2017/3/10, 117
2017/3/11, 90
2017/3/12, 74
2017/3/13, 96
2017/3/14, 125
2017/3/15, 132
2017/3/16, 164
2017/3/17, 170
2017/3/18, 157
2017/3/19, 147
2017/3/20, 147
2017/3/21, 172
2017/3/22, 166
2017/3/23, 162
2017/3/24, 190
2017/3/25, 151
2017/3/26, 138
2017/3/27, 144
2017/3/28, 179
2017/3/29, 169
2017/3/30, 125
2017/3/31, 138
2016/10/1, 170
2016/10/2, 142
2016/10/3, 159
2016/10/4, 185
2016/10/5, 143
2016/10/6, 170
2016/10/7, 174
2016/10/8, 167
2016/10/9, 182
2016/10/10, 161
2016/10/11, 172
2016/10/12, 159
2016/10/13, 126
2016/10/14, 136
2016/10/15, 178
2016/10/16, 159
2016/10/17, 171
2016/10/18, 177
2016/10/19, 156
2016/10/20, 144
2016/10/21, 130
2016/10/22, 144
2016/10/23, 198
2016/10/24, 179
2016/10/25, 140
2016/10/26, 192
2016/10/27, 292
2016/10/28, 291
2016/10/29, 277
2016/10/31, 329
2016/11/1, 579
2016/11/2, 445
2016/11/3, 558
2016/11/4, 637
2016/11/5, 348
2016/11/6, 707
2016/11/7, 787
2016/11/8, 573
2016/11/9, 408
2016/11/10, 358
2016/11/11, 306
2016/11/12, 323
2016/11/13, 285
2016/11/14, 232
2016/11/15, 221
2016/11/16, 253
2016/11/17, 299
2016/11/18, 264
2016/11/19, 247
2016/11/20, 253
2016/11/21, 262
2016/11/22, 254
2016/11/23, 184
2016/11/24, 198
2016/11/25, 244
2016/11/26, 178
2016/11/27, 161
2016/11/28, 169
2016/11/29, 157
2016/11/30, 218
2016/12/1, 298
2016/12/2, 324
2016/12/3, 332
2016/12/4, 236
2016/12/5, 212
2016/12/6, 227
2016/12/7, 318
2016/12/8, 320
2016/12/9, 300
2016/12/10, 283
2016/12/11, 270
2016/12/12, 235
2016/12/13, 234
2016/12/14, 230
2016/12/15, 204
2016/12/16, 210
2016/12/17, 208
2016/12/18, 280
2016/12/19, 283
2016/12/20, 296
2016/12/21, 216
2016/12/22, 183
2016/12/23, 220
2016/12/24, 387
2016/12/25, 430
2016/12/26, 316
2016/12/27, 241
2016/12/28, 232
2016/12/29, 255
2016/12/30, 319
2016/12/31, 254
2017/1/1, 258
2017/1/2, 222
2016/7/1, 98
2016/7/2, 75
2016/7/5, 119
2016/7/6, 157
2016/7/7, 107
2016/7/8, 125
2016/7/9, 128
2016/7/10, 102
2016/7/11, 117
2016/7/12, 79
2016/7/13, 97
2016/7/14, 99
2016/7/15, 87
